"organisasjonsnummer","navn","organisasjonsformkode","registreringsdato"
922924368,"A Thousand Words - Ødegården Gjerrud Translations","ENK",19/06/2019
916627939,"Palmera","FLI",26/01/2016
911963582,"TTT- WINES TORE EUGEN KRISTIANSEN","ENK",25/05/2013
988539473,"EBE- DATA Eyolf Berg","ENK",20/08/2005
989061593,"G- GROUP AS","AS",23/01/2006
913460197,"MINUS AS","AS",03/04/2014
922936919,"VEIEN- MED ANITA HELLEBØ-STOREIDE","ENK",21/06/2019
995849364,"INVEST AS","AS",24/08/2010
990730253,"ART OF DESIGN - Lars Thomas Evensen","ENK",08/01/2007
925833088,"INNSIKT","FLI",24/10/2020
929943945,"FALSE INVESTMENTS AS","AS",28/09/2022
994924974,"SOR-ESPORTS","FLI",05/01/2010
927379759,"IN NORWAY CATO CHRISTENSEN","ENK",05/07/2021
979168268,"BARE MODALEN","ENK",27/08/1997
995783568,"BY CHAAT HOUSE LTD","UTLA",07/09/2010
819032262,"PIECE OF CAKE AS","AS",22/05/2017
988224413,"STOPP TIDEN! Espen Skjøld","ENK",28/05/2005
983640478,"TERRY NORDAL BOLSTAD","ENK",22/09/2001
985894272,"CONFIGURE && MAKE RAMTON","ENK",28/07/2003
916745079,"A.R.M. CHAPTER 28","FLI",11/03/2016
